library_ID,title,organism,collection_date,geo_loc_name,depth,samp_size,size_frac,lat_lon,design_description,env_broad_scale,env_local_scale,env_medium,collection_method,samp_collection_device,samp_mat_process,source_material_ID,sample_name,sample_accession,study_accession
P31353_2012,COI Clupea harengus 2023-05-17 SPRAS23,Clupea harengus,2023-05-17,45G7,NA,1 individual,165 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2012,508.SPRAS23_SILL_19_COI,ENA:ERS23543431,ENA:PRJEB85974
P31353_2013,COI Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,45G7,NA,1 individual,120 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2013,508.SPRAS23_SK.SILL_12_COI,ENA:ERS23543432,ENA:PRJEB85974
P31353_2014,COI Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,45G7,NA,1 individual,125 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2014,508.SPRAS23_SK.SILL_13_COI,ENA:ERS23543433,ENA:PRJEB85974
P31353_2015,COI Sprattus sprattus 2023-05-17 SPRAS23,Sprattus sprattus,2023-05-17,45G7,NA,1 individual,115 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2015,508.SPRAS23_SK.SILL_11_COI,ENA:ERS23543434,ENA:PRJEB85974
P31353_2016,COI Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,45G7,NA,1 individual,65 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2016,508.SPRAS23_SPIGG_12_COI,ENA:ERS23543435,ENA:PRJEB85974
P31353_2017,COI Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,45G7,NA,1 individual,70 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2017,508.SPRAS23_SPIGG_14_COI,ENA:ERS23543436,ENA:PRJEB85974
P31353_2018,COI Gasterosteus aculeatus 2023-05-17 SPRAS23,Gasterosteus aculeatus,2023-05-17,45G7,NA,1 individual,65 mm,58.09843333 17.53998333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2018,508.SPRAS23_SPIGG_18_COI,ENA:ERS23543437,ENA:PRJEB85974
P31353_2019,COI WP2 2023-05-17 SPRAS23,WP2,2023-05-17,45G7,0-60,15310.5518 L,90 micrometers,58.0976 17.56835,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G7,Seawater,Vertical Plankton Net,"WP2, 90um","Bulk DNA extraction, QIAmp Micro Kit",P2019,508.SPRAS23_WP2_2_COI,ENA:ERS23543438,ENA:PRJEB85974
P31353_2020,COI Clupea harengus 2023-05-18 SPRAS23,Clupea harengus,2023-05-18,46G8,NA,1 individual,175 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2020,112.SPRAS23_SILL_51_COI,ENA:ERS23543439,ENA:PRJEB85974
P31353_2021,COI Clupea harengus 2023-05-18 SPRAS23,Clupea harengus,2023-05-18,46G8,NA,1 individual,160 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2021,112.SPRAS23_SILL_53_COI,ENA:ERS23543440,ENA:PRJEB85974
P31353_2022,COI Clupea harengus 2023-05-18 SPRAS23,Clupea harengus,2023-05-18,46G8,NA,1 individual,160 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2022,112.SPRAS23_SILL_55_COI,ENA:ERS23543441,ENA:PRJEB85974
P31353_2023,COI Sprattus sprattus 2023-05-18 SPRAS23,Sprattus sprattus,2023-05-18,46G8,NA,1 individual,110 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2023,112.SPRAS23_SK.SILL_54_COI,ENA:ERS23543442,ENA:PRJEB85974
P31353_2024,COI Sprattus sprattus 2023-05-18 SPRAS23,Sprattus sprattus,2023-05-18,46G8,NA,1 individual,115 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2024,112.SPRAS23_SK.SILL_55_COI,ENA:ERS23543443,ENA:PRJEB85974
P31353_2025,COI Sprattus sprattus 2023-05-18 SPRAS23,Sprattus sprattus,2023-05-18,46G8,NA,1 individual,115 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2025,112.SPRAS23_SK.SILL_58_COI,ENA:ERS23543444,ENA:PRJEB85974
P31353_2026,COI Gasterosteus aculeatus 2023-05-18 SPRAS23,Gasterosteus aculeatus,2023-05-18,46G8,NA,1 individual,65 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2026,112.SPRAS23_SPIGG_54_COI,ENA:ERS23543445,ENA:PRJEB85974
P31353_2027,COI Gasterosteus aculeatus 2023-05-18 SPRAS23,Gasterosteus aculeatus,2023-05-18,46G8,NA,1 individual,55 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2027,112.SPRAS23_SPIGG_56_COI,ENA:ERS23543446,ENA:PRJEB85974
P31353_2028,COI Gasterosteus aculeatus 2023-05-18 SPRAS23,Gasterosteus aculeatus,2023-05-18,46G8,NA,1 individual,55 mm,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2028,112.SPRAS23_SPIGG_59_COI,ENA:ERS23543447,ENA:PRJEB85974
P31353_2029,COI WP2 2023-05-18 SPRAS23,WP2,2023-05-18,46G8,0-60,15310.5518 L,90 micrometers,58.5534 18.75171667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 46G8,Seawater,Vertical Plankton Net,"WP2, 90um","Bulk DNA extraction, QIAmp Micro Kit",P2029,112.SPRAS23_WP2_7_COI,ENA:ERS23543448,ENA:PRJEB85974
P31353_2030,COI Clupea harengus 2023-05-19 SPRAS23,Clupea harengus,2023-05-19,45G8,NA,1 individual,155 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2030,114.SPRAS23_SILL_71_COI,ENA:ERS23543449,ENA:PRJEB85974
P31353_2031,COI Clupea harengus 2023-05-19 SPRAS23,Clupea harengus,2023-05-19,45G8,NA,1 individual,160 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2031,114.SPRAS23_SILL_72_COI,ENA:ERS23543450,ENA:PRJEB85974
P31353_2032,COI Clupea harengus 2023-05-19 SPRAS23,Clupea harengus,2023-05-19,45G8,NA,1 individual,155 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2032,114.SPRAS23_SILL_78_COI,ENA:ERS23543451,ENA:PRJEB85974
P31353_2033,COI Sprattus sprattus 2023-05-19 SPRAS23,Sprattus sprattus,2023-05-19,45G8,NA,1 individual,120 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2033,114.SPRAS23_SK.SILL_72_COI,ENA:ERS23543452,ENA:PRJEB85974
P31353_2034,COI Sprattus sprattus 2023-05-19 SPRAS23,Sprattus sprattus,2023-05-19,45G8,NA,1 individual,120 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2034,114.SPRAS23_SK.SILL_75_COI,ENA:ERS23543453,ENA:PRJEB85974
P31353_2035,COI Sprattus sprattus 2023-05-19 SPRAS23,Sprattus sprattus,2023-05-19,45G8,NA,1 individual,115 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2035,114.SPRAS23_SK.SILL_79_COI,ENA:ERS23543454,ENA:PRJEB85974
P31353_2036,COI Gasterosteus aculeatus 2023-05-19 SPRAS23,Gasterosteus aculeatus,2023-05-19,45G8,NA,1 individual,65 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2036,114.SPRAS23_SPIGG_71_COI,ENA:ERS23543455,ENA:PRJEB85974
P31353_2037,COI Gasterosteus aculeatus 2023-05-19 SPRAS23,Gasterosteus aculeatus,2023-05-19,45G8,NA,1 individual,65 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2037,114.SPRAS23_SPIGG_74_COI,ENA:ERS23543456,ENA:PRJEB85974
P31353_2038,COI Gasterosteus aculeatus 2023-05-19 SPRAS23,Gasterosteus aculeatus,2023-05-19,45G8,NA,1 individual,65 mm,58.06766667 18.22258333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2038,114.SPRAS23_SPIGG_78_COI,ENA:ERS23543457,ENA:PRJEB85974
P31353_2039,COI WP2 2023-05-19 SPRAS23,WP2,2023-05-19,45G8,0-30,15310.5518 L,90 micrometers,58.06928333 18.22988333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 45G8,Seawater,Vertical Plankton Net,"WP2, 90um","Bulk DNA extraction, QIAmp Micro Kit",P2039,114.SPRAS23_WP2_9_10_COI,ENA:ERS23543458,ENA:PRJEB85974
P31353_2040,COI Clupea harengus 2023-05-20 SPRAS23,Clupea harengus,2023-05-20,43G7,NA,1 individual,165 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2040,118.SPRAS23_SILL_111_COI,ENA:ERS23543459,ENA:PRJEB85974
P31353_2041,COI Clupea harengus 2023-05-20 SPRAS23,Clupea harengus,2023-05-20,43G7,NA,1 individual,195 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2041,118.SPRAS23_SILL_113_COI,ENA:ERS23543460,ENA:PRJEB85974
P31353_2042,COI Clupea harengus 2023-05-20 SPRAS23,Clupea harengus,2023-05-20,43G7,NA,1 individual,195 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2042,118.SPRAS23_SILL_119_COI,ENA:ERS23543461,ENA:PRJEB85974
P31353_2043,COI Sprattus sprattus 2023-05-20 SPRAS23,Sprattus sprattus,2023-05-20,43G7,NA,1 individual,125 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2043,118.SPRAS23_SK.SILL_111_COI,ENA:ERS23543462,ENA:PRJEB85974
P31353_2044,COI Sprattus sprattus 2023-05-20 SPRAS23,Sprattus sprattus,2023-05-20,43G7,NA,1 individual,110 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2044,118.SPRAS23_SK.SILL_113_COI,ENA:ERS23543463,ENA:PRJEB85974
P31353_2045,COI Sprattus sprattus 2023-05-20 SPRAS23,Sprattus sprattus,2023-05-20,43G7,NA,1 individual,115 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2045,118.SPRAS23_SK.SILL_118_COI,ENA:ERS23543464,ENA:PRJEB85974
P31353_2046,COI Gasterosteus aculeatus 2023-05-20 SPRAS23,Gasterosteus aculeatus,2023-05-20,43G7,NA,1 individual,70 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2046,118.SPRAS23_SPIGG_112_COI,ENA:ERS23543465,ENA:PRJEB85974
P31353_2047,COI Gasterosteus aculeatus 2023-05-20 SPRAS23,Gasterosteus aculeatus,2023-05-20,43G7,NA,1 individual,65 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2047,118.SPRAS23_SPIGG_115_COI,ENA:ERS23543466,ENA:PRJEB85974
P31353_2048,COI Gasterosteus aculeatus 2023-05-20 SPRAS23,Gasterosteus aculeatus,2023-05-20,43G7,NA,1 individual,65 mm,57.06526667 17.74908333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2048,118.SPRAS23_SPIGG_118_COI,ENA:ERS23543467,ENA:PRJEB85974
P31353_2049,COI WP2 2023-05-20 SPRAS23,WP2,2023-05-20,43G7,0-30,15310.5518 L,90 micrometers,57.07326667 17.72736667,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 43G7,Seawater,Vertical Plankton Net,"WP2, 90um","Bulk DNA extraction, QIAmp Micro Kit",P2049,118.SPRAS23_WP2_14_15_COI,ENA:ERS23543468,ENA:PRJEB85974
P31353_2050,COI Clupea harengus 2023-05-21 SPRAS23,Clupea harengus,2023-05-21,42G7,NA,1 individual,175 mm,56.78603333 17.41303333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 42G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2050,122.SPRAS23_SILL_152_COI,ENA:ERS23543469,ENA:PRJEB85974
P31353_2051,COI Clupea harengus 2023-05-21 SPRAS23,Clupea harengus,2023-05-21,42G7,NA,1 individual,165 mm,56.78603333 17.41303333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 42G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2051,122.SPRAS23_SILL_154_COI,ENA:ERS23543470,ENA:PRJEB85974
P31353_2052,COI Clupea harengus 2023-05-21 SPRAS23,Clupea harengus,2023-05-21,42G7,NA,1 individual,175 mm,56.78603333 17.41303333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 42G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2052,122.SPRAS23_SILL_156_COI,ENA:ERS23543471,ENA:PRJEB85974
P31353_2053,COI Sprattus sprattus 2023-05-21 SPRAS23,Sprattus sprattus,2023-05-21,42G7,NA,1 individual,125 mm,56.78603333 17.41303333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 42G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2053,122.SPRAS23_SK.SILL_152_COI,ENA:ERS23543472,ENA:PRJEB85974
P31353_2054,COI Sprattus sprattus 2023-05-21 SPRAS23,Sprattus sprattus,2023-05-21,42G7,NA,1 individual,115 mm,56.78603333 17.41303333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 42G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2054,122.SPRAS23_SK.SILL_157_COI,ENA:ERS23543473,ENA:PRJEB85974
P31353_2055,COI Sprattus sprattus 2023-05-21 SPRAS23,Sprattus sprattus,2023-05-21,42G7,NA,1 individual,120 mm,56.78603333 17.41303333,"Metabarcoding of COI gene using mlCOIintF-dgHCO2198 primers, dual amplification, Illumina Miseq",Pelagic Baltic Sea,ICES statistical rectangle 42G7,Seawater,Trawl,Pelagic Trawl,"Organism identification and DNA extraction, QIAmp Micro Kit",P2055,122.SPRAS23_SK.SILL_160_COI,ENA:ERS23543474,ENA:PRJEB85974
