library_ID,title,organism,collection_date,geo_loc_name,depth,samp_size,size_frac,lat_lon,design_description,env_broad_scale,env_local_scale,env_medium,collection_method,samp_collect_device,samp_mat_process,source_material_id,sample_name,sample_accession,study_accession
P12051_1038,16S rRNA Bosmina 2018-07-31 NA By31,Bosmina,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314609,ENA:PRJEB39191
P12051_1039,16S rRNA Bosmina 2018-07-31 NA By31,Bosmina,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314610,ENA:PRJEB39191
P12051_1040,16S rRNA Bosmina 2018-07-31 NA By31,Bosmina,2018-07-31T00:00:00Z,By31,30-60,10 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-178,NA,ENA:ERR4314611,ENA:PRJEB39191
P12051_1041,16S rRNA Temora 2018-04-16 NA By31,Temora,2018-04-16T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-91,NA,ENA:ERR4314612,ENA:PRJEB39191
P12051_1042,16S rRNA Temora 2018-04-16 NA By31,Temora,2018-04-16T00:00:00Z,By31,30-60,5 individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-91,NA,ENA:ERR4314613,ENA:PRJEB39191
P12051_1043,16S rRNA NA 2017-11-15 NA By31,Seawater,2017-11-15T00:00:00Z,By31,5+10,5.5 litres,20,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Pooled water sample,Niskin Bottle,"Bulk DNA extraction, DNeasy Plant Kit",ID-82,NA,ENA:ERR4314614,ENA:PRJEB39191
P12051_1044,16S rRNA NA 2017-11-15 NA By31,Seawater,2017-11-15T00:00:00Z,By31,5+10,5.5 litres,2,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Pooled water sample,Niskin Bottle,"Bulk DNA extraction, DNeasy Plant Kit",ID-81,NA,ENA:ERR4314615,ENA:PRJEB39191
P12051_1045,16S rRNA NA 2017-11-15 NA By31,Seawater,2017-11-15T00:00:00Z,By31,5+10,1.6 litres,0.2,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Pooled water sample,Niskin Bottle,"Bulk DNA extraction, DNeasy Plant Kit",ID-80,NA,ENA:ERR4314616,ENA:PRJEB39191
P12051_1046,16S rRNA Temora 2018-04-16 NA By31,Temora,2018-04-16T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-91,NA,ENA:ERR4314617,ENA:PRJEB39191
P12051_1047,16S rRNA Temora 2017-08-15 NA By31,Temora,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314618,ENA:PRJEB39191
P12051_1048,16S rRNA Temora 2017-08-15 NA By31,Temora,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314619,ENA:PRJEB39191
P12051_1049,16S rRNA Temora 2017-08-15 NA By31,Temora,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314620,ENA:PRJEB39191
P12051_1050,16S rRNA Temora 2017-08-15 NA By31,Temora,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314621,ENA:PRJEB39191
P12051_1051,16S rRNA Temora 2017-08-15 NA By31,Temora,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314622,ENA:PRJEB39191
P12051_1052,16S rRNA Pseudocalanus 2018-03-19 NA By31,Pseudocalanus,2018-03-19T00:00:00Z,By31,0-30,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-83,NA,ENA:ERR4314623,ENA:PRJEB39191
P12051_1053,16S rRNA Pseudocalanus 2018-03-19 NA By31,Pseudocalanus,2018-03-19T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-84,NA,ENA:ERR4314624,ENA:PRJEB39191
P12051_1054,16S rRNA Pseudocalanus 2018-03-19 NA By31,Pseudocalanus,2018-03-19T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-84,NA,ENA:ERR4314625,ENA:PRJEB39191
P12051_1055,16S rRNA Temora 2018-03-19 NA By31,Temora,2018-03-19T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-84,NA,ENA:ERR4314626,ENA:PRJEB39191
P12051_1056,16S rRNA Temora 2018-03-19 NA By31,Temora,2018-03-19T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-84,NA,ENA:ERR4314627,ENA:PRJEB39191
P12051_1057,16S rRNA Temora 2018-03-19 NA By31,Temora,2018-03-19T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-84,NA,ENA:ERR4314628,ENA:PRJEB39191
P12051_1058,16S rRNA Centropages 2017-08-15 NA By31,Centropages,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314629,ENA:PRJEB39191
P12051_1059,16S rRNA Centropages 2017-08-15 NA By31,Centropages,2017-08-15T00:00:00Z,By31,30-60,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-50,NA,ENA:ERR4314630,ENA:PRJEB39191
P12051_1060,16S rRNA Acartia 2017-06-19 NA By31,Acartia,2017-06-19T00:00:00Z,By31,0-30,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,NA,ENA:ERR4314631,ENA:PRJEB39191
P12051_1061,16S rRNA Acartia 2017-06-19 NA By31,Acartia,2017-06-19T00:00:00Z,By31,0-30,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,NA,ENA:ERR4314632,ENA:PRJEB39191
P12051_1062,16S rRNA Acartia 2017-06-19 NA By31,Acartia,2017-06-19T00:00:00Z,By31,0-30,NA individuals,< 90 micrometers,58.58333 18.23333,"Metabarcoding of 16S rRNA gene using 341f-805r primers, dual amplification, Illumina MiSeq",Pelagic Baltic Sea,BY31 LANDSORTSDJ,Seawater,Vertical Plankton Net,"WP2, 90um","Organism Identification and DNA extraction, QIAmp Micro Kit",ID-26,NA,ENA:ERR4314633,ENA:PRJEB39191
